City,Country,Latitude,Longitude,Date,Max Temp,Humidity,Cloudiness,Wind_Speed
santa marta,co,13.488110520804085,-74.33375152951106,1519858081,76.0,100.0,0.0,24.0
nchelenge,zm,-9.810297878422247,28.336416052301644,1519858081,67.0,99.0,92.0,4.0
trinidad,bo,-15.367459562638004,-65.3538406625182,1519857944,78.0,48.0,88.0,6.0
celestun,mx,22.642209359990233,-93.05941659703993,1519857970,80.0,88.0,0.0,9.0
garwa,in,24.533138206133444,83.6091280845506,1519858083,57.0,90.0,0.0,5.0
thompson,ca,64.25561389323911,-95.07422968170589,1519857791,24.0,80.0,88.0,4.0
puerto colombia,co,11.997662330043667,-76.26342630743581,1519858084,77.0,78.0,0.0,14.0
adrar,dz,27.81706199708553,1.8989398946815754,1519857773,66.0,34.0,0.0,9.0
vologda,ru,59.31423448902032,39.830976451195966,1519858085,2.0,68.0,64.0,3.0
westlock,ca,53.99672443039495,-113.79557612178681,1519855200,35.0,37.0,20.0,5.0
hammerfest,no,74.88150621148733,22.345697420175043,1519856400,32.0,100.0,90.0,5.0
kahului,us,27.877810023840254,-152.09557735654337,1519854960,80.0,57.0,40.0,6.0
tiksi,ru,87.06985577864157,131.40959567901916,1519857930,-35.0,67.0,20.0,4.0
ontario,us,43.2642337091209,-118.31483254224841,1519855080,62.0,41.0,20.0,2.0
gelemso,et,8.741891275023391,40.37520100226638,1519858088,48.0,85.0,0.0,0.0
jacareacanga,br,-7.597488431113078,-56.60474540223933,1519858088,82.0,73.0,36.0,3.0
provideniya,ru,60.58184167100745,-175.79508633321453,1519857780,24.0,100.0,92.0,34.0
dwarka,in,19.882958984580867,64.57291483334316,1519858089,61.0,89.0,24.0,2.0
qovlar,az,40.74139885916975,45.66746804385005,1519857000,42.0,93.0,90.0,6.0
nantucket,us,39.37005590182409,-69.06287845486241,1519857300,46.0,65.0,1.0,20.0
skoghall,se,59.61326420975925,13.056747365242018,1519858090,7.0,100.0,0.0,7.0
touros,br,-2.165462190005144,-30.743988372053536,1519857793,80.0,88.0,80.0,10.0
dalvik,is,67.1684442995687,-18.990401063310657,1519858092,15.0,76.0,68.0,9.0
bambous virieux,mu,-35.35155309253881,84.19963144268411,1519858093,79.0,87.0,88.0,10.0
cherskiy,ru,75.50864096117519,159.8410041334502,1519858093,-2.0,72.0,80.0,2.0
thaba-tseka,ls,-29.76665749655526,28.295146872731493,1519858094,43.0,93.0,0.0,2.0
shelburne,ca,42.41394822233204,-65.63772090513625,1519855200,57.0,80.0,40.0,12.0
baruun-urt,mn,45.617038776726076,113.95012885089693,1519858095,-11.0,51.0,0.0,6.0
flinders,au,-36.829847371334566,130.94585600962864,1519858095,73.0,73.0,0.0,5.0
shimoda,jp,19.82831707863926,144.21337505244418,1519858096,58.0,100.0,20.0,39.0
cayenne,gf,14.542428155556834,-41.95935832490582,1519858096,78.0,84.0,56.0,7.0
kodiak,us,53.228805430142245,-148.62593453276654,1519857120,51.0,87.0,90.0,14.0
suntar,ru,62.94173425611817,117.20579694087616,1519858097,-19.0,83.0,56.0,3.0
torbay,ca,45.06544179732268,-48.211989387016644,1519858097,30.0,96.0,88.0,10.0
bull savanna,jm,14.462033499113303,-77.1002708536524,1519858098,72.0,86.0,100.0,2.0
cabatuan,ph,14.339808930512191,127.09548841529687,1519858099,72.0,100.0,64.0,3.0
sao paulo de olivenca,br,-3.316642713374236,-69.48815657922621,1519858099,79.0,89.0,0.0,1.0
sorland,no,73.23239132911655,9.63202112251301,1519857947,35.0,100.0,76.0,17.0
bilibino,ru,70.33949562675099,167.08483562601816,1519858100,0.0,75.0,68.0,3.0
hervey bay,au,-23.728277150738805,156.99484592168022,1519858101,80.0,92.0,0.0,3.0
quatre cocos,mu,-17.846013586048116,62.87183767993966,1519858101,79.0,87.0,88.0,10.0
bud,no,65.67851126192085,6.232323498579063,1519856400,21.0,47.0,0.0,10.0
grafton,us,48.13855989673101,-97.87319682395,1519858103,83.0,70.0,0.0,2.0
jieznas,lt,54.57587697103605,24.356979909974655,1519858103,3.0,82.0,88.0,10.0
turukhansk,ru,63.7258734031831,89.89934460339299,1519858104,-18.0,81.0,56.0,19.0
xinzhi,cn,36.537528858598094,111.59945527167491,1519858104,63.0,95.0,0.0,3.0
guerrero negro,mx,22.655415456488683,-122.05449801982579,1519858105,63.0,54.0,0.0,11.0
arlit,ne,20.53808168302919,5.030353024634508,1519858105,64.0,29.0,0.0,6.0
luxor,eg,25.59834992181689,32.502635051511845,1519858106,49.0,58.0,0.0,4.0
salalah,om,17.240019263629918,57.0000492098597,1519854600,71.0,78.0,0.0,3.0
georgetown,sh,-0.40375916055911887,-18.456389348424494,1519857964,75.0,72.0,0.0,6.0
iqaluit,ca,64.75001888044326,-75.78571758260102,1519855200,24.0,85.0,90.0,11.0
ajdabiya,ly,30.22136005976928,18.71943645178473,1519858108,50.0,84.0,0.0,6.0
abbeville,us,28.079103223796494,-92.62363854973889,1519858109,21.0,61.0,80.0,22.0
nadym,ru,63.810717306305975,71.41029321029148,1519857941,-1.0,79.0,80.0,20.0
broome,au,-20.91194916997432,125.39304041451192,1519856580,23.0,79.0,80.0,20.0
hvide sande,dk,55.84650944617917,6.490756395386029,1519856400,19.0,73.0,48.0,16.0
florence,us,38.93328955667238,-84.89456988984628,1519856100,64.0,88.0,90.0,7.0
portland,au,-39.577832555345246,140.97813498964496,1519854960,46.0,93.0,90.0,13.0
bela vista,br,-22.059579394402903,-56.7075153246838,1519858019,76.0,92.0,20.0,3.0
kuching,my,2.313404215195021,109.97789626537025,1519858114,78.0,100.0,56.0,4.0
safford,us,33.530626271951334,-109.55796314670769,1519854660,48.0,57.0,20.0,19.0
banda aceh,id,3.9870519125589965,88.59860297308472,1519858114,72.0,100.0,8.0,1.0
manokwari,id,2.6404171746809055,133.44783691765946,1519858115,82.0,100.0,8.0,3.0
esperance,au,-30.039054342704283,124.13702809232541,1519855200,75.0,88.0,40.0,5.0
